"KTM","RC","2017","16000"," Make-ktm  Model-rc200  Year-2017  Good in CONDITION  Contact n.99,58,86,17,67  I want Sell bike  Well mentioned ","SBM Colony, Bengaluru, Karnataka","Today"
"KTM","RC","2017","11400"," Bangalore housing board ","Kamakshipalya, Bengaluru, Karnataka","Today"
"KTM","Duke 200","2016","36600"," Ktm duke 200 very well maintained ","Karanataka bangalore nagarabhavi 2nd stage, Bengaluru, Karnataka","Today"
"KTM","390 Duke ABS","2017","4700"," Excellent condition bike sparingly used ","Milk Colony, Bengaluru, Karnataka","Today"
"KTM","390 Duke ABS","2017","9370"," Ktm duke 390 orange colour   Maintained in mint condition   Serviced only in authorised service center  Valid service history available   It has Extended manufacturer warranty till 2020   Accident free bike   Insurance valid till May 2020   A month ago rear tyre replaced with Metzeler M5 sportec of worth 8,500/-  Used only shell V power petrol   I was using only for long rides  Reason for selling :- moving abroad   Slightly negotiable   Time passers please stay away   Genuine people can contact ","Attiguppe, Bengaluru, Karnataka","Today"
"KTM","RC","2017","5000"," I am selling my RC 390 bike ","Rajaji Nagar, Bengaluru, Karnataka","Today"
"KTM","390 Duke ABS","2014","9000"," Ktm Duke 390 ABS  Single owner   Sheild engine   No need to spend even a single RS on the vehicle   Running insurance  2014 model  Ka vehicle   Slipper clutch type  Awesome power  Looks like brand new   Just driven 8450km  I'm extraordinary and immaculate condition   Interested people ping me   This is very rare to get this type of bike ","Banashankari, Bengaluru, Karnataka","Today"
"KTM","390 Duke ABS","2018","5000"," 8mnth old Duke 390 with 5yrs insurance bumper to bumper oly 2 services done still 1 services is free . ","Asthagrama Layout, Bengaluru, Karnataka","Yesterday"
"KTM","RC","2018","2500"," 2500 km driven and well maintained. bought on august 3rd 2018. ","Basaveshvara Nagar, Bengaluru, Karnataka","Yesterday"
"KTM","RC","2016","15690"," Ktm rc 200 ","VV Puram, Bengaluru, Karnataka","Yesterday"
"KTM","RC","2015","16000"," Less run   Well maintenance   Only interested call me or text me my last price is 128000 ","Salappa Layout VS Garden, Bengaluru, Karnataka","Yesterday"
"KTM","390 Duke ABS","2018","4980"," KTM Duke 390 abs Urgent sale 2018 October , should buy car, with 5 years bumper to bumper insurance. Colour: Orange ","Vijaya Nagar, Bengaluru, Karnataka","Yesterday"
"KTM","RC","2018","8500"," I want money urgently ","Byraveshwara Nagar, Bengaluru, Karnataka","Yesterday"
"KTM","Duke 200","2018","800"," 7 month old,  bought on 15 oct'18  800 km driven.   2 service done  Full condition  Coatation 175000 ","Chandra Layout Stage 1, Bengaluru, Karnataka","Yesterday"
"KTM","RC","2014","23500"," KTM RC 390 for sale  KA 04 registered  First owner  Done ~23500km  2014 model  New Michelin tyres (front & back)- less than 3000km done  New battery (with warranty)  New fuel pump  New fuel tank  Reason for sale- Upgrade (already have a bike)  No falls ever  Never gone above 120kmph  Mainly used for city riding  No external modifications  Will give a matching LS2 helmet for free!  Left rear-view mirror replaced   Minor scratches on livery due to regular parking in office basement  Asking price INR 140000/- ","Srirampuram, Bengaluru, Karnataka","2 days ago"
"KTM","Duke 200","2016","10000"," Ktm duke 200c 2016 modal vary good condition I am a single owner whit Ins ","VV Puram Parvatipuram, Bengaluru, Karnataka","2 days ago"
"KTM","Duke 200","2012","45000"," DM me for details ","Yediyur, Bengaluru, Karnataka","3 days ago"
"KTM","Duke 200","2014","18000"," Duke 200cc 2014 jan model 2nd owner 2days before ful general services done looking for immediate buyer ","VV Puram, Bengaluru, Karnataka","3 days ago"
"KTM","RC","2015","25000"," I want to sell my RC 390 which is in mint condition..its fully customized stickering with high end graphics..Insurance running..Price is slightly negotiable high bargainers stay away... ","RV Road, Bengaluru, Karnataka","3 days ago"
"KTM","Duke 200","2015","29000"," Single owner  Well maintained  Serviced only in showroom  29000kms done  New tyres  Recently serviced ","West of Chord Road Stage 2 Mahalakshmipuram, Bengaluru, Karnataka","4 days ago"
"KTM","390 Duke ABS","2015","18238"," Good condition good looking 390 all service has been done in showroom I have all records showroom tires no accident running insurance till 2020 single owner single user with full bike kits 2keys with key cord ","Keshava Nagar, Bengaluru, Karnataka","4 days ago"
"KTM","RC","2014","25000"," Rc 390 model 2014 ","Wellington street  Richmond Town, Bengaluru, Karnataka","4 days ago"
"KTM","RC","2017","28000"," RC 200 for Sale ,Loan continue  Monthly EMI is 5900. Balance 17month s is there  Good condition.. ","M C Layout, Bengaluru, Karnataka","5 days ago"
"KTM","Duke 200","2012","5000"," Hey guys I am selling my ktm chassis which is in good condition interested persons can call me on 9..74273099.1 ","Mavalli, Bengaluru, Karnataka","6 days ago"
"KTM","Duke 200","2015","16000"," ktm duke 200 ","Azad Nagar, Bengaluru, Karnataka","May 4"
"KTM","Duke 200","2012","19000"," Exchange with RC  OR   SALE FOR 85K  2ND OWNER  BIKE IS IN CONDITION   FOR MORE INFORMATION CONTACT   7337604997 ","Basaveshvara Nagar Stage 4, Bengaluru, Karnataka","May 4"
